"test case","param1","param2","param3","param4","expected output"
"1","1","0","0","0","F","F","passed"
"2","1","0","0","1","F","F","passed"
"3","1","0","0","10","F","F","passed"
"4","1","0","0","9","F","F","passed"
"5","1","0","0","5","F","F","passed"
"6","1","0","1","0","F","F","passed"
"7","1","0","1","1","F","F","passed"
"8","1","0","1","10","F","F","passed"
"9","1","0","1","9","F","F","passed"
"10","1","0","1","5","F","F","passed"
"11","1","0","50","0","c","c","passed"
"12","1","0","50","1","c","c","passed"
"13","1","0","50","10","B","B","passed"
"14","1","0","50","9","B","B","passed"
"15","1","0","50","5","c","c","passed"
"16","1","0","49","0","c","c","passed"
"17","1","0","49","1","c","c","passed"
"18","1","0","49","10","B","B","passed"
"19","1","0","49","9","c","c","passed"
"20","1","0","49","5","c","c","passed"
"21","1","0","25","0","F","F","passed"
"22","1","0","25","1","F","F","passed"
"23","1","0","25","10","F","F","passed"
"24","1","0","25","9","F","F","passed"
"25","1","0","25","5","F","F","passed"
"26","1","1","0","0","F","F","passed"
"27","1","1","0","1","F","F","passed"
"28","1","1","0","10","F","F","passed"
"29","1","1","0","9","F","F","passed"
"30","1","1","0","5","F","F","passed"
"31","1","1","1","0","F","F","passed"
"32","1","1","1","1","F","F","passed"
"33","1","1","1","10","F","F","passed"
"34","1","1","1","9","F","F","passed"
"35","1","1","1","5","F","F","passed"
"36","1","1","50","0","c","c","passed"
"37","1","1","50","1","c","c","passed"
"38","1","1","50","10","B","B","passed"
"39","1","1","50","9","B","B","passed"
"40","1","1","50","5","c","c","passed"
"41","1","1","49","0","c","c","passed"
"42","1","1","49","1","c","c","passed"
"43","1","1","49","10","B","B","passed"
"44","1","1","49","9","B","B","passed"
"45","1","1","49","5","c","c","passed"
"46","1","1","25","0","F","F","passed"
"47","1","1","25","1","F","F","passed"
"48","1","1","25","10","F","F","passed"
"49","1","1","25","9","F","F","passed"
"50","1","1","25","5","F","F","passed"
"51","1","20","0","0","F","F","passed"
"52","1","20","0","1","F","F","passed"
"53","1","20","0","10","F","F","passed"
"54","1","20","0","9","F","F","passed"
"55","1","20","0","5","F","F","passed"
"56","1","20","1","0","F","F","passed"
"57","1","20","1","1","F","F","passed"
"58","1","20","1","10","F","F","passed"
"59","1","20","1","9","F","F","passed"
"60","1","20","1","5","F","F","passed"
"61","1","20","50","0","A","A","passed"
"62","1","20","50","1","A","A","passed"
"63","1","20","50","10","A+","A+","passed"
"64","1","20","50","9","A+","A+","passed"
"65","1","20","50","5","A","A","passed"
"66","1","20","49","0","A","A","passed"
"67","1","20","49","1","A","A","passed"
"68","1","20","49","10","A+","A+","passed"
"69","1","20","49","9","A","A","passed"
"70","1","20","49","5","A","A","passed"
"71","1","20","25","0","F","F","passed"
