"test case","param1","param2","expected output"
"1","1","0","1","1","passed"
"2","1","1","2","2","passed"
"3","1","1000","1001","1001","passed"
"4","1","999","1000","1000","passed"
"5","1","500","501","501","passed"
"6","2","0","2","2","passed"
"7","2","1","3","3","passed"
"8","2","1000","1002","1002","passed"
"9","2","999","1001","1001","passed"
"10","2","500","502","502","passed"
"11","10000","0","10000","10000","passed"
"12","10000","1","10001","10001","passed"
"13","10000","1000","11000","11000","passed"
"14","10000","999","10999","10999","passed"
"15","10000","500","10500","10500","passed"
"16","9999","0","9999","9999","passed"
"17","9999","1","10000","10000","passed"
"18","9999","1000","10999","10999","passed"
"19","9999","999","10998","10998","passed"
"20","9999","500","10499","10499","passed"
"21","5000","0","5000","5000","passed"
"22","5000","1","5001","5001","passed"
"23","5000","1000","6000","6000","passed"
"24","5000","999","5999","5999","passed"
"25","5000","500","5500","5500","passed"
