"test case","param1","param2","expected output"
"1","1","0","1","1","passed"
"2","1","1","0","0","passed"
"3","1","1000","-999","-999","passed"
"4","1","999","-998","-998","passed"
"5","1","500","-499","-499","passed"
"6","2","0","2","2","passed"
"7","2","1","1","1","passed"
"8","2","1000","-998","-998","passed"
"9","2","999","-997","-997","passed"
"10","2","500","-498","-498","passed"
"11","10000","0","10000","10000","passed"
"12","10000","1","9999","9999","passed"
"13","10000","1000","9000","9000","passed"
"14","10000","999","9001","9001","passed"
"15","10000","500","9500","9500","passed"
"16","9999","0","9999","9999","passed"
"17","9999","1","9998","9998","passed"
"18","9999","1000","8999","8999","passed"
"19","9999","999","9000","9000","passed"
"20","9999","500","9499","9499","passed"
"21","5000","0","5000","5000","passed"
"22","5000","1","4999","4999","passed"
"23","5000","1000","4000","4000","passed"
"24","5000","999","4001","4001","passed"
"25","5000","500","4500","4500","passed"
